age,education,hispanic,household_income,race_ethnicity,extra_covid_worn_mask,state,trump_biden,binary,household_income_grouped,education_grouped,age_group
65,"Completed some college, but no degree",not hispanic,"$60,000 to $64,999",white,Yes,MD,Donald Trump,1,$50k to $75k,Participated in Higher Education,56-75
51,"Completed some college, but no degree",mexican,"$35,000 to $39,999",white,Yes,KY,Donald Trump,1,$25k to $50k,Participated in Higher Education,36-55
45,"College Degree (such as B.A., B.S.)",not hispanic,"$50,000 to $54,999",asian or pacific islander,Yes,CA,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree,36-55
20,Associate Degree,other,"Less than $14,999",white,Yes,NY,Joe Biden,0,$25k or less,Completed 1 Higher Education Degree,18-35
32,"College Degree (such as B.A., B.S.)",not hispanic,"$150,000 to $174,999",white,Yes,CA,Donald Trump,1,$150k or more,Completed 1 Higher Education Degree,18-35
42,"Completed some college, but no degree",not hispanic,"$35,000 to $39,999",white,Yes,NC,Joe Biden,0,$25k to $50k,Participated in Higher Education,36-55
55,Doctorate degree,mexican,"$45,000 to $49,999",white,No,OH,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree or more,36-55
20,"Completed some college, but no degree",not hispanic,"$35,000 to $39,999","other race, nec",Yes,TX,Donald Trump,1,$25k to $50k,Participated in Higher Education,18-35
52,"Completed some college, but no degree",not hispanic,"$20,000 to $24,999",white,Yes,CA,Joe Biden,0,$25k or less,Participated in Higher Education,36-55
20,"Completed some college, but no degree",not hispanic,"Less than $14,999",white,Yes,FL,Donald Trump,1,$25k or less,Participated in Higher Education,18-35
40,High school graduate,not hispanic,"$100,000 to $124,999",white,No,NC,Donald Trump,1,$100k to $150k,Completed HS,36-55
54,"College Degree (such as B.A., B.S.)",not hispanic,"$150,000 to $174,999",white,Yes,IA,Joe Biden,0,$150k or more,Completed 1 Higher Education Degree,36-55
55,"College Degree (such as B.A., B.S.)",mexican,"$60,000 to $64,999",white,Yes,CA,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree,36-55
78,High school graduate,not hispanic,"$30,000 to $34,999",white,Yes,GA,Donald Trump,1,$25k to $50k,Completed HS,76 or Older
62,"Completed some college, but no degree",not hispanic,"Less than $14,999",white,Yes,CA,Joe Biden,0,$25k or less,Participated in Higher Education,56-75
54,Other post high school vocational training,not hispanic,"$30,000 to $34,999",black/african american/negro,Yes,AZ,Donald Trump,1,$25k to $50k,Participated in Higher Education,36-55
37,"Completed some college, but no degree",not hispanic,"Less than $14,999",black/african american/negro,Yes,SC,Joe Biden,0,$25k or less,Participated in Higher Education,36-55
76,Associate Degree,not hispanic,"$75,000 to $79,999",white,Yes,OH,Joe Biden,0,$75k to $100k,Completed 1 Higher Education Degree,76 or Older
41,Masters degree,not hispanic,"$100,000 to $124,999",white,Yes,VA,Joe Biden,0,$100k to $150k,Completed 1 Higher Education Degree or more,36-55
71,"Completed some college, but no degree",not hispanic,"Less than $14,999",white,Yes,IN,Joe Biden,0,$25k or less,Participated in Higher Education,56-75
40,Masters degree,not hispanic,"$150,000 to $174,999",white,Yes,GA,Donald Trump,1,$150k or more,Completed 1 Higher Education Degree or more,36-55
69,High school graduate,not hispanic,"$125,000 to $149,999",white,Yes,MA,Donald Trump,1,$100k to $150k,Completed HS,56-75
44,Associate Degree,Other Hispanic,"$40,000 to $44,999",white,Yes,CA,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree,36-55
43,"College Degree (such as B.A., B.S.)",not hispanic,"$175,000 to $199,999",white,Yes,MD,Donald Trump,1,$150k or more,Completed 1 Higher Education Degree,36-55
26,"Completed some college, but no degree",not hispanic,"$35,000 to $39,999",white,Yes,MO,Joe Biden,0,$25k to $50k,Participated in Higher Education,18-35
37,High school graduate,not hispanic,"$55,000 to $59,999",white,Yes,OH,Donald Trump,1,$50k to $75k,Completed HS,36-55
35,Masters degree,not hispanic,"$250,000 and above",white,Yes,NC,Donald Trump,1,$150k or more,Completed 1 Higher Education Degree or more,18-35
25,High school graduate,not hispanic,"Less than $14,999",black/african american/negro,Yes,IL,Joe Biden,0,$25k or less,Completed HS,18-35
47,Other post high school vocational training,other,"$45,000 to $49,999",white,No,CA,Donald Trump,1,$25k to $50k,Participated in Higher Education,36-55
35,Completed some high school,not hispanic,"$25,000 to $29,999",asian or pacific islander,Yes,HI,Joe Biden,0,$25k to $50k,Completed some HS,18-35
32,"Completed some college, but no degree",mexican,"$45,000 to $49,999","other race, nec",Yes,CA,Joe Biden,0,$25k to $50k,Participated in Higher Education,18-35
35,Masters degree,not hispanic,"$100,000 to $124,999",white,Yes,NY,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree or more,18-35
40,Doctorate degree,not hispanic,"$200,000 to $249,999",white,Yes,CA,Donald Trump,1,$150k or more,Completed 1 Higher Education Degree or more,36-55
43,Completed some high school,not hispanic,"$25,000 to $29,999",white,Yes,MO,Donald Trump,1,$25k to $50k,Completed some HS,36-55
51,"College Degree (such as B.A., B.S.)",not hispanic,"$200,000 to $249,999",white,Yes,MI,Donald Trump,1,$150k or more,Completed 1 Higher Education Degree,36-55
48,Completed some high school,not hispanic,"Less than $14,999",white,Yes,IL,Donald Trump,1,$25k or less,Completed some HS,36-55
31,"College Degree (such as B.A., B.S.)",mexican,"$45,000 to $49,999",white,Yes,NY,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree,18-35
29,Completed some high school,other,"$95,000 to $99,999","other race, nec",Yes,AR,Joe Biden,0,$75k to $100k,Completed some HS,18-35
25,Completed some high school,not hispanic,"Less than $14,999",white,No,OH,Donald Trump,1,$25k or less,Completed some HS,18-35
28,"Completed some college, but no degree",cuban,"$50,000 to $54,999",white,Yes,FL,Joe Biden,0,$50k to $75k,Participated in Higher Education,18-35
18,High school graduate,Other Hispanic,"Less than $14,999","other race, nec",Yes,NV,Joe Biden,0,$25k or less,Completed HS,18-35
28,"Completed some college, but no degree",not hispanic,"$30,000 to $34,999",black/african american/negro,Yes,NC,Joe Biden,0,$25k to $50k,Participated in Higher Education,18-35
57,Masters degree,not hispanic,"$200,000 to $249,999",black/african american/negro,Yes,MS,Joe Biden,0,$150k or more,Completed 1 Higher Education Degree or more,56-75
65,"Completed some college, but no degree",not hispanic,"$30,000 to $34,999",black/african american/negro,Yes,MI,Joe Biden,0,$25k to $50k,Participated in Higher Education,56-75
59,Associate Degree,not hispanic,"$50,000 to $54,999",white,Yes,AZ,Donald Trump,1,$50k to $75k,Completed 1 Higher Education Degree,56-75
20,"Completed some college, but no degree",mexican,"$90,000 to $94,999",white,Yes,MI,Joe Biden,0,$75k to $100k,Participated in Higher Education,18-35
29,Masters degree,other,"$100,000 to $124,999",white,No,CA,Joe Biden,0,$100k to $150k,Completed 1 Higher Education Degree or more,18-35
63,"Completed some college, but no degree",not hispanic,"$65,000 to $69,999",white,Yes,IL,Joe Biden,0,$50k to $75k,Participated in Higher Education,56-75
28,Completed some high school,not hispanic,"Less than $14,999",american indian or alaska native,Yes,OK,Joe Biden,0,$25k or less,Completed some HS,18-35
73,Masters degree,other,"$85,000 to $89,999",white,Yes,CA,Joe Biden,0,$75k to $100k,Completed 1 Higher Education Degree or more,56-75
20,High school graduate,not hispanic,"Less than $14,999",white,Yes,LA,Donald Trump,1,$25k or less,Completed HS,18-35
25,Associate Degree,not hispanic,"$25,000 to $29,999",white,Yes,FL,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree,18-35
47,High school graduate,mexican,"$30,000 to $34,999",white,Yes,TX,Donald Trump,1,$25k to $50k,Completed HS,36-55
18,Completed some high school,mexican,"$100,000 to $124,999","other race, nec",Yes,CA,Joe Biden,0,$100k to $150k,Completed some HS,18-35
23,"Completed some college, but no degree",not hispanic,"$125,000 to $149,999",black/african american/negro,Yes,TX,Joe Biden,0,$100k to $150k,Participated in Higher Education,18-35
44,"College Degree (such as B.A., B.S.)",not hispanic,"$60,000 to $64,999",white,Yes,TX,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree,36-55
52,"Completed some college, but no degree",not hispanic,"Less than $14,999",white,No,AZ,Joe Biden,0,$25k or less,Participated in Higher Education,36-55
25,High school graduate,mexican,"Less than $14,999",white,Yes,FL,Donald Trump,1,$25k or less,Completed HS,18-35
